sha1,old_name,new_name,file_changed,type
3ac109b0b4faea35bd58bd16e7c0657b80be65ac,namedArguments,staticArguments,flink-table/flink-table-common/src/main/java/org/apache/flink/table/types/inference/TypeInference.java,Rename Parameter
3ac109b0b4faea35bd58bd16e7c0657b80be65ac,accumulatorTypeStrategy,stateTypeStrategies,flink-table/flink-table-common/src/main/java/org/apache/flink/table/types/inference/TypeInference.java,Rename Attribute
3ac109b0b4faea35bd58bd16e7c0657b80be65ac,namedArguments,staticArguments,flink-table/flink-table-common/src/main/java/org/apache/flink/table/types/inference/TypeInference.java,Rename Attribute
3ac109b0b4faea35bd58bd16e7c0657b80be65ac,accumulatorTypeStrategy,stateTypeStrategies,flink-table/flink-table-common/src/main/java/org/apache/flink/table/types/inference/TypeInference.java,Rename Attribute
0c338ae6d21e6d3dc79764e7801cbb7adfe6a44f,testSplitWatermarkAlignmentAndIdleness,testMultiSplitWatermarkAlignmentAndIdleness,flink-runtime/src/test/java/org/apache/flink/streaming/api/operators/SourceOperatorSplitWatermarkAlignmentTest.java,Rename Method
0580924bf06ea93889c26cff26fcea8ddd941003,argumentHint,h,flink-table/flink-table-common/src/main/java/org/apache/flink/table/types/extraction/BaseMappingExtractor.java,Rename Variable
b54e5d361c15d44c06539f14dc9f650890e413c5,AFTER_RESTORE_OUTPUT,AFTER_RESTORE_OUTPUT_WITH_OUT_OF_ORDER_RECORDS,flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/plan/nodes/exec/stream/OverAggregateTestPrograms.java,Rename Attribute
9b8c0e2101b65612d6f4a261bd0cc0789137ac72,myFun1_split6,myFun1_split16,flink-table/flink-table-code-splitter/src/test/resources/splitter/expected/TestSplitJavaCode.java,Rename Method
9b8c0e2101b65612d6f4a261bd0cc0789137ac72,myFun1_split7,myFun1_split17,flink-table/flink-table-code-splitter/src/test/resources/splitter/expected/TestSplitJavaCode.java,Rename Method
9b8c0e2101b65612d6f4a261bd0cc0789137ac72,myFun1_split8,myFun1_split18,flink-table/flink-table-code-splitter/src/test/resources/splitter/expected/TestSplitJavaCode.java,Rename Method
9b8c0e2101b65612d6f4a261bd0cc0789137ac72,myFun1_split9,myFun1_split19,flink-table/flink-table-code-splitter/src/test/resources/splitter/expected/TestSplitJavaCode.java,Rename Method
9b8c0e2101b65612d6f4a261bd0cc0789137ac72,myFun1_0_0_rewriteGroup5_split10,myFun1_0_0_rewriteGroup5_split20,flink-table/flink-table-code-splitter/src/test/resources/splitter/expected/TestSplitJavaCode.java,Rename Method
9b8c0e2101b65612d6f4a261bd0cc0789137ac72,myFun1_0_0_rewriteGroup5_split11,myFun1_0_0_rewriteGroup5_split21,flink-table/flink-table-code-splitter/src/test/resources/splitter/expected/TestSplitJavaCode.java,Rename Method
9b8c0e2101b65612d6f4a261bd0cc0789137ac72,myFun1_0_0_rewriteGroup1_2_rewriteGroup4_split12,myFun1_0_0_rewriteGroup1_2_rewriteGroup4_split22,flink-table/flink-table-code-splitter/src/test/resources/splitter/expected/TestSplitJavaCode.java,Rename Method
9b8c0e2101b65612d6f4a261bd0cc0789137ac72,myFun1_0_0_rewriteGroup1_2_rewriteGroup4_split13,myFun1_0_0_rewriteGroup1_2_rewriteGroup4_split23,flink-table/flink-table-code-splitter/src/test/resources/splitter/expected/TestSplitJavaCode.java,Rename Method
9b8c0e2101b65612d6f4a261bd0cc0789137ac72,myFun2Impl_split14,myFun2Impl_split24,flink-table/flink-table-code-splitter/src/test/resources/splitter/expected/TestSplitJavaCode.java,Rename Method
9b8c0e2101b65612d6f4a261bd0cc0789137ac72,myFun2Impl_split15,myFun2Impl_split25,flink-table/flink-table-code-splitter/src/test/resources/splitter/expected/TestSplitJavaCode.java,Rename Method
9b8c0e2101b65612d6f4a261bd0cc0789137ac72,,,flink-table/flink-table-code-splitter/src/test/resources/splitter/expected/TestSplitJavaCode.java,Rename Attribute
